Offering_ID,Supplier,Title,Original_Comment,Extracted_Bulk_String,Status
65,nacrystal.com,"5,5 cm Amethyst - CRAME030-4",CRAME030-4 Titel	Bereich	Preis Bulk	3 - 10	€7.26 Bulk	11 - 20	€6.88 Bulk	21 - 50	€6.50 Bulk	51 +	€6...,"3|Stk|7.26
11|Stk|6.88
21|Stk|6.50",REVIEW_NEEDED
66,nacrystal.com,8 cm Rosenquarz, Title	Range	Price Bulk	3 - 10	$56.05 Bulk	11 - 20	$53.10 Bulk	21 - 50	$50.15 Bulk	51 +	$47.20,"3|Stk|56.05
11|Stk|53.10
21|Stk|50.15",REVIEW_NEEDED
78,nacrystal.com,Rohkristall Amethyst Spitze Wand XL - 20x5x4 cm - CRAME026,Titel	Bereich	Preis Bulk	3 - 10	€48.15 Bulk	11 - 20	€45.61 Bulk	21 - 50	€43.08 Bulk	51 +	€40.54,"3|Stk|48.15
11|Stk|45.61
21|Stk|43.08",REVIEW_NEEDED
81,nacrystal.com,Amazonit Obelisk Wand Tower 5-6 cm - CRAMA003-1,Titel	Bereich	Preis Bulk	3 - 10	€4.81 Bulk	11 - 20	€4.56 Bulk	21 - 50	€4.31 Bulk	51 +	€4.05,"3|Stk|4.81
11|Stk|4.56
21|Stk|4.31",REVIEW_NEEDED
84,nacrystal.com,Geode Slice Halskette Unregelmäßiger Kristall Quarz - CRNECK062,Titel	Bereich	Preis Bulk	3 - 10	€3.26 Bulk	11 - 20	€3.08 Bulk	21 - 50	€2.91 Bulk	51 +	€2.74 Jeder A...,"3|Stk|3.26
11|Stk|3.08
21|Stk|2.91",REVIEW_NEEDED
92,nacrystal.com,Halskette Amethyst Doppelspitze - Stoffband, Titel	Bereich	Preis Bulk	3 - 10	€4.00 Bulk	11 - 20	€3.79 Bulk	21 - 50	€3.58 Bulk	51 +	€3.37,"3|Stk|4.00
11|Stk|3.79
21|Stk|3.58",REVIEW_NEEDED
93,nacrystal.com,Wired Wrapped Crystak Ball - 11 Arten ,Aquamarin Citrin Klarer Quarz Grüner Achat Roter Achat Rotes Tigerauge Amethyst Tigerauge Rosenquarz...,"3|Stk|2.44
11|Stk|2.31
21|Stk|2.18",REVIEW_NEEDED
94,nacrystal.com,"Herzkette verschiedene HE, ""Netz"" Fassung",itel	Bereich	Preis Bulk	3 - 10	€1.55 Bulk	11 - 20	€1.47 Bulk	21 - 50	€1.39 Bulk	51 +	€1.31,"3|Stk|1.55
11|Stk|1.47
21|Stk|1.39",REVIEW_NEEDED
96,nacrystal.com,Halskette Rechteck Amethyst - CRNECK015, Titel	Bereich	Preis Bulk	3 - 10	€4.57 Bulk	11 - 20	€4.33 Bulk	21 - 50	€4.09 Bulk	51 +	€3.85,"3|Stk|4.57
11|Stk|4.33
21|Stk|4.09",REVIEW_NEEDED
97,nacrystal.com,Halskette Tropfen güner Aventurin - CRGRE002,Titel	Bereich	Preis Bulk	3 - 10	€4.41 Bulk	11 - 20	€4.17 Bulk	21 - 50	€3.94 Bulk	51 +	€3.71 Grüner ...,"3|Stk|4.41
11|Stk|4.17
21|Stk|3.94",REVIEW_NEEDED
98,nacrystal.com,Schwarzer Turmalin gefasst Halskette Splitterkette - NECK240628M, Titel	Bereich	Preis Bulk	3 - 10	€2.11 Bulk	11 - 20	€2.00 Bulk	21 - 50	€1.89 Bulk	51 +	€1.78 Der ha...,"3|Stk|2.11
11|Stk|2.00
21|Stk|1.89",REVIEW_NEEDED
99,nacrystal.com,Wassertropfen verschiedene Steine - CRNECK036,"Kategorien: Citrin-Halskette, Amethyst-Halskette, Kristall-Halsketten, Andere Halskette, Rosenquarz-...","3|Stk|3.18
11|Stk|3.02
21|Stk|2.85",REVIEW_NEEDED
100,nacrystal.com,Schwarzer Turmalin ungefasst - CRNECK009,Titel	Bereich	Preis Bulk	3 - 10	€1.55 Bulk	11 - 20	€1.47 Bulk	21 - 50	€1.39 Bulk	51 +	€1.31,"3|Stk|1.55
11|Stk|1.47
21|Stk|1.39",REVIEW_NEEDED
101,nacrystal.com,Halskette Labradorit - CRLAB002 ,"Nach langer Zeit Taufe der Natur, Labradorit Stein hat Geist und es kann Ihnen Kraft geben. Beobacht...","3|Stk|3.84
